,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
delta_ev_z|subject_id[5],-0.533,0.374,-1.195,0.259,0.005,0.004,4884.0,4884.0,4917.0,5890.0,1.0,
delta_ev_z|subject_id[6],0.535,0.506,-0.425,1.52,0.005,0.005,9176.0,6298.0,9276.0,6298.0,1.0,
delta_ev_z|subject_id[7],-0.101,0.405,-0.871,0.706,0.005,0.004,7628.0,5500.0,7772.0,5932.0,1.0,
delta_ev_z|subject_id[8],0.058,0.432,-0.78,0.892,0.005,0.005,6923.0,4019.0,7159.0,6182.0,1.0,
delta_ev_z|subject_id[9],-0.355,0.375,-1.066,0.378,0.005,0.004,6152.0,5419.0,6186.0,5198.0,1.0,
delta_ev_z|subject_id[10],0.034,0.429,-0.767,0.891,0.006,0.004,5697.0,5040.0,5719.0,5817.0,1.0,
delta_ev_z|subject_id[11],-0.677,0.323,-1.302,-0.045,0.004,0.003,5714.0,5714.0,5779.0,6220.0,1.0,
delta_ev_z|subject_id[12],-1.427,0.245,-1.887,-0.941,0.004,0.003,4551.0,4551.0,4569.0,5502.0,1.0,
delta_ev_z|subject_id[13],1.172,0.557,0.126,2.272,0.006,0.005,8209.0,6923.0,8309.0,6301.0,1.0,
delta_ev_z|subject_id[14],0.085,0.424,-0.72,0.93,0.005,0.005,8208.0,3993.0,8320.0,5827.0,1.0,
delta_ev_z|subject_id[15],-0.911,0.294,-1.481,-0.334,0.004,0.003,5471.0,5471.0,5595.0,4939.0,1.0,
delta_ev_z|subject_id[16],1.714,0.607,0.579,2.953,0.007,0.005,7134.0,6511.0,7263.0,6381.0,1.0,
delta_ev_z|subject_id[17],2.246,0.699,0.901,3.63,0.009,0.007,5603.0,5476.0,5655.0,6146.0,1.0,
delta_ev_z|subject_id[18],0.615,0.522,-0.377,1.621,0.007,0.005,6149.0,5685.0,6188.0,6129.0,1.0,
delta_ev_z|subject_id[19],1.75,0.616,0.605,3.013,0.007,0.005,7541.0,6725.0,7660.0,6538.0,1.0,
delta_ev_z|subject_id[20],-1.006,0.285,-1.556,-0.443,0.004,0.003,5676.0,5676.0,5704.0,5274.0,1.0,
delta_ev_z|subject_id[21],0.05,0.433,-0.791,0.902,0.005,0.005,6454.0,4057.0,6558.0,6219.0,1.0,
delta_ev_z|subject_id[22],1.674,0.64,0.449,2.956,0.009,0.007,5329.0,4810.0,5457.0,5016.0,1.0,
delta_ev_z|subject_id[23],-0.8,0.375,-1.55,-0.073,0.005,0.003,5837.0,5837.0,5838.0,5779.0,1.0,
delta_ev_z|subject_id[24],1.313,0.577,0.255,2.49,0.007,0.005,7443.0,6925.0,7494.0,6754.0,1.0,
delta_ev_z|subject_id[25],1.336,0.563,0.245,2.451,0.007,0.005,7179.0,6380.0,7299.0,6168.0,1.0,
delta_ev_z|subject_id[26],-0.794,0.312,-1.371,-0.171,0.004,0.003,5541.0,5541.0,5582.0,5478.0,1.0,
delta_ev_z|subject_id[27],0.203,0.458,-0.698,1.093,0.006,0.005,6679.0,4685.0,6850.0,5920.0,1.0,
delta_ev_z|subject_id[28],-1.566,0.247,-2.058,-1.089,0.004,0.003,4341.0,4341.0,4373.0,5479.0,1.0,
delta_ev_z|subject_id[29],-0.097,0.419,-0.913,0.729,0.006,0.004,5254.0,4584.0,5413.0,5119.0,1.0,
delta_ev_z|subject_id[30],-1.289,0.261,-1.804,-0.773,0.004,0.003,4320.0,4257.0,4306.0,5969.0,1.0,
delta_ev_z|subject_id[31],-1.178,0.262,-1.683,-0.657,0.004,0.003,4665.0,4562.0,4651.0,5059.0,1.0,
delta_ev_z|subject_id[32],-1.155,0.202,-1.554,-0.763,0.003,0.002,3355.0,3355.0,3350.0,4467.0,1.0,
delta_ev_z|subject_id[33],0.521,0.483,-0.385,1.496,0.006,0.005,6177.0,5260.0,6265.0,5791.0,1.0,
delta_ev_z|subject_id[34],0.452,0.487,-0.478,1.4,0.006,0.005,6542.0,5040.0,6659.0,5782.0,1.0,
delta_ev_z|subject_id[35],1.69,0.612,0.551,2.936,0.007,0.005,7414.0,6977.0,7474.0,6931.0,1.0,
