,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
270,,,2.4495,-0.0082,0.7576,215.2245,BIC,TwoStageBetween,167-attributes,0.4279,1.0
271,2.3592,,3.4475,,0.7642,209.0291,BIC,TwoStageWithin,167-attributes,,
272,,,11.6704,,1.501,41.9802,BIC,TwoStageBetween,168-alternatives,0.798,
273,0.1719,1.0,11.2713,0.0238,1.4959,49.2515,BIC,TwoStageWithin,168-alternatives,,
274,,,10.4938,-0.0101,1.288,102.7784,BIC,TwoStageBetween,168-attributes,0.9321,0.809
275,0.1044,,10.4921,,1.3281,100.5075,BIC,TwoStageWithin,168-attributes,,
276,,,20.2365,,2.3013,180.1055,BIC,TwoStageBetween,17-alternatives,0.5655,
277,0.8307,1.0,24.5029,0.0315,2.2966,187.5956,BIC,TwoStageWithin,17-alternatives,,
278,,,18.6041,0.0365,2.033,18.3447,BIC,TwoStageBetween,17-attributes,0.6204,0.6682
279,0.5941,,17.73,,2.0497,13.7453,BIC,TwoStageWithin,17-attributes,,
280,,,18.7038,,1.3423,10.2252,BIC,TwoStageBetween,170-alternatives,0.5703,
281,0.6758,1.0,20.606,0.0126,1.3392,18.2468,BIC,TwoStageWithin,170-alternatives,,
